0,1.09
50,5.00
100,0.00
150,0.00
200,1.17
250,5.00
300,0.00
350,0.00
400,1.26
450,5.00
500,0.00
550,0.00
600,1.34
650,5.00
700,0.00
750,0.00
800,1.42
850,4.99
900,0.00
950,0.00
1000,1.51
1050,4.97
1100,0.00
1150,0.00
1200,1.57
1250,4.93
1300,0.00
1350,0.00
1400,1.66
1450,4.91
1500,0.00
1550,0.00
1600,1.74
1650,4.87
1700,0.00
1750,0.00
1800,1.80
1850,4.84
1900,0.00
1950,0.00
2000,1.89
2050,4.81
2100,0.00
2150,0.00
2200,1.97
2250,4.78
2300,0.00
2350,0.00
2400,2.05
2450,4.75
2500,0.00
2550,0.00
2600,2.12
2650,4.71
2700,0.00
2750,0.00
2800,2.20
2850,4.67
2900,0.00
2950,0.00
3000,2.28
3050,4.63
3100,0.00
3150,0.00
3200,2.35
3250,4.60
3300,0.00
3350,0.00
3400,2.42
3450,4.57
3500,0.00
3550,0.00
3600,2.50
3650,4.53
3700,0.00
3750,0.00
3800,2.57
3850,4.48
3900,0.00
3950,0.00
4000,2.63
4050,4.43
4100,0.00
4150,0.00
4200,2.72
4250,4.40
4300,0.00
4350,0.00
4400,2.78
4450,4.35
4500,0.00
4550,0.00
4600,2.86
4650,4.30
4700,0.00
4750,0.00
4800,2.92
4850,4.25
4900,0.00
4950,0.00
